review_id,reviewer_name,review_text,rating,sentiment,review_date,product_category
R001,Alice Johnson,"Battery easily lasts all day even with heavy use — very impressed.",5,positive,2024-12-22,Smartphones
R002,Bob Smith,"Camera performs well in daylight but struggles a bit in low light; average overall.",3,neutral,2024-12-28,Smartphones
R003,Grace Lee,"Performance is snappy and responsive for everyday apps and multitasking.",5,positive,2025-01-04,Smartphones
R004,David Wilson,"Charging is inconsistent — sometimes it stalls at 40% and takes forever to resume.",2,negative,2025-01-07,Smartphones
R005,Emily Brown,"Sleek design and premium feel, though it picks up fingerprints easily.",4,positive,2025-01-13,Smartphones
R006,Frank Miller,"Display is bright with accurate colors, but the contrast seems off in some apps.",3,neutral,2025-01-18,Smartphones
R007,Jack Robinson,"Camera captures great detail and is quick to focus most of the time.",5,positive,2025-01-21,Smartphones
R008,Carol Davis,"Audio is crisp and clear for music and calls, pleasantly surprised.",4,positive,2025-01-26,Smartphones
R009,Henry Taylor,"Touchscreen occasionally misses taps and scrolling can be jittery.",2,negative,2025-01-28,Smartphones
R010,Ivy Chen,"Great for photography, but battery life is average — may need a top-up by evening.",3,neutral,2025-02-01,Smartphones
R011,Alice Johnson,"Screen resolution is fantastic — videos look crisp and vibrant.",5,positive,2025-02-05,Smartphones
R012,Bob Smith,"Performance is solid; no lag even with heavy apps and games.",5,positive,2025-02-10,Smartphones
R013,Grace Lee,"Fingerprint sensor is hit-or-miss and sometimes refuses to recognize saved prints.",2,negative,2025-02-14,Smartphones
R014,David Wilson,"Battery optimization helps but I still get less than ideal screen-on time with heavy use.",3,neutral,2025-02-19,Smartphones
R015,Emily Brown,"Lightweight and sturdy — comfortable to hold for long periods.",4,positive,2025-02-23,Smartphones
R016,Frank Miller,"High refresh rate makes scrolling and gaming feel incredibly smooth.",5,positive,2025-02-28,Smartphones
R017,Jack Robinson,"Plenty of storage; haven't run into space issues even with lots of apps.",5,positive,2025-03-03,Smartphones
R018,Carol Davis,"Phone overheats during long gaming sessions and throttles performance.",2,negative,2025-03-07,Smartphones
R019,Henry Taylor,"Face unlock is quick and reliable in most lighting conditions.",5,positive,2025-03-12,Smartphones
R020,Ivy Chen,"Excellent value for money — feels like a much pricier phone.",5,positive,2025-03-15,Smartphones
R021,Alice Johnson,"Camera is good but the processing sometimes oversharpens photos; mixed results.",3,neutral,2025-03-19,Smartphones
R022,Bob Smith,"Battery drains quickly when using navigation apps — disappointing endurance.",2,negative,2025-03-23,Smartphones
R023,Grace Lee,"Colors on the OLED display are vibrant and lifelike.",5,positive,2025-03-26,Smartphones
R024,David Wilson,"Very reliable so far — no crashes or unexpected restarts.",5,positive,2025-03-31,Smartphones
R025,Emily Brown,"Build feels solid but the edges can be a bit sharp if held tightly.",3,neutral,2025-04-03,Smartphones
